source,target,edge_type
604500000,604530000,ownership
604500000,604531000,ownership
604500000,604532000,ownership
607900000,607901000,ownership
607900000,607902000,ownership
607900000,607903000,ownership
607900000,607904000,ownership
607900000,607905000,ownership
604500000,630200000,ownership
603000000,631000000,ownership
701200000,701201000,ownership
701200000,701202000,ownership
701200000,701203000,ownership
701200000,701204000,ownership
701200000,701205000,ownership
701200000,701206000,ownership
701200000,701207000,ownership
701200000,701208000,ownership
701200000,701209000,ownership
701200000,701210000,ownership
701200000,701211000,ownership
701200000,701212000,ownership
701200000,701213000,ownership
701200000,701214000,ownership
701200000,701215000,ownership
701200000,701216000,ownership
701200000,701217000,ownership
701200000,701218000,ownership
701200000,701219000,ownership
701200000,701220000,ownership
701200000,701221000,ownership
701200000,701222000,ownership
701200000,701223000,ownership
701200000,701224000,ownership
701200000,701225000,ownership
701200000,701226000,ownership
701200000,701227000,ownership
701200000,701228000,ownership
701200000,701229000,ownership
701200000,701230000,ownership
701200000,701231000,ownership
701200000,701232000,ownership
701200000,701233000,ownership
701200000,701234000,ownership
701200000,701235000,ownership
701200000,701236000,ownership
701200000,701237000,ownership
701200000,701238000,ownership
701200000,701239000,ownership
701200000,701240000,ownership
701200000,701241000,ownership
701200000,701242000,ownership
701200000,701243000,ownership
701200000,701244000,ownership
701200000,701245000,ownership
701200000,701246000,ownership
701200000,701247000,ownership
701200000,701248000,ownership
702200000,702201000,ownership
702200000,702202000,ownership
702200000,702203000,ownership
702200000,702204000,ownership
702200000,702205000,ownership
702200000,702206000,ownership
702200000,702207000,ownership
702200000,702208000,ownership
702200000,702209000,ownership
702200000,702210000,ownership
702200000,702211000,ownership
702200000,702212000,ownership
702200000,702213000,ownership
702200000,702214000,ownership
702200000,702215000,ownership
702200000,702216000,ownership
702200000,702218000,ownership
702200000,702219000,ownership
702200000,702220000,ownership
702200000,702221000,ownership
702200000,702222000,ownership
702200000,702223000,ownership
702200000,702224000,ownership
702200000,702225000,ownership
702200000,702227000,ownership
702200000,702228000,ownership
702200000,702229000,ownership
702200000,702231000,ownership
702200000,702232000,ownership
702200000,702233000,ownership
702200000,702234000,ownership
702200000,702235000,ownership
702200000,702236000,ownership
702200000,702237000,ownership
702200000,702238000,ownership
702200000,702239000,ownership
702200000,702240000,ownership
702200000,702241000,ownership
702200000,702242000,ownership
702200000,702243000,ownership
702200000,702244000,ownership
702200000,702245000,ownership
702200000,702246000,ownership
702200000,702247000,ownership
702200000,702248000,ownership
702200000,702249000,ownership
702200000,702250000,ownership
702200000,702251000,ownership
702200000,702252000,ownership
702200000,702253000,ownership
704600000,704601000,ownership
704600000,704602000,ownership
704600000,704603000,ownership
704600000,704604000,ownership
704600000,704605000,ownership
704600000,704606000,ownership
704600000,704607000,ownership
704600000,704608000,ownership
704600000,704609000,ownership
704600000,704610000,ownership
704600000,704611000,ownership
704600000,704612000,ownership
704600000,704613000,ownership
704600000,704614000,ownership
704600000,704615000,ownership
704600000,704616000,ownership
704600000,704617000,ownership
704600000,704618000,ownership
704600000,704619000,ownership
704600000,704620000,ownership
704600000,704621000,ownership
704600000,704622000,ownership
704600000,704623000,ownership
704600000,704624000,ownership
704600000,704625000,ownership
706100000,706101000,ownership
706100000,706102000,ownership
706100000,706103000,ownership
706100000,706104000,ownership
706100000,706105000,ownership
706100000,706106000,ownership
702200000,730600000,ownership
702200000,731100000,ownership
702200000,731300000,ownership
802600000,802601000,ownership
802600000,802602000,ownership
802600000,802603000,ownership
802600000,802604000,ownership
802600000,802605000,ownership
802600000,802606000,ownership
802600000,802607000,ownership
802600000,802608000,ownership
802600000,802609000,ownership
802600000,802610000,ownership
802600000,802611000,ownership
802600000,802612000,ownership
802600000,802613000,ownership
802600000,802614000,ownership
802600000,802615000,ownership
802600000,802616000,ownership
802600000,802617000,ownership
802600000,802618000,ownership
802600000,802619000,ownership
802600000,802620000,ownership
802600000,802621000,ownership
802600000,802622000,ownership
802600000,802623000,ownership
803700000,803701000,ownership
803700000,803702000,ownership
803700000,803703000,ownership
803700000,803705000,ownership
803700000,803706000,ownership
803700000,803707000,ownership
803700000,803708000,ownership
803700000,803710000,ownership
803700000,803713000,ownership
803700000,803714000,ownership
803700000,803715000,ownership
803700000,803717000,ownership
803700000,803718000,ownership
803700000,803719000,ownership
803700000,803720000,ownership
803700000,803721000,ownership
803700000,803722000,ownership
803700000,803723000,ownership
803700000,803724000,ownership
803700000,803725000,ownership
803700000,803726000,ownership
803700000,803728000,ownership
803700000,803729000,ownership
